"pair_id","language","text","A_path","B_path","preference_A_B_TIE","A_pronunciation_1_5","B_pronunciation_1_5","A_voice_similarity_1_5","B_voice_similarity_1_5","A_naturalness_1_5","B_naturalness_1_5","A_severe_issue_Y_N","B_severe_issue_Y_N","notes"
"pair_001","ja","おかえりなさい、兄さん。今日も一日お疲れ様でした。","D:\program\meguri-pet\baselines\blind_ab\baseline_001\level_matched\pair_001_A.wav","D:\program\meguri-pet\baselines\blind_ab\baseline_001\level_matched\pair_001_B.wav","B","4","5","5","5","4","3","N","N"," 第一句首字太短了，没怎么听清楚，第一句的后半句优于前半句，第二句的前半句的气息声比较自然"
"pair_002","ja","そんなに慌てなくても大丈夫です。私が一緒に確認しますから。","D:\program\meguri-pet\baselines\blind_ab\baseline_001\level_matched\pair_002_A.wav","D:\program\meguri-pet\baselines\blind_ab\baseline_001\level_matched\pair_002_B.wav","B","4","5","2","5","3","5","Y","N","第一句机械音过于明显"
"pair_003","ja","少し休んでから続きをしましょう。無理をしてはいけませんよ。","D:\program\meguri-pet\baselines\blind_ab\baseline_001\level_matched\pair_003_A.wav","D:\program\meguri-pet\baselines\blind_ab\baseline_001\level_matched\pair_003_B.wav","B","4","5","2","5","2","4","Y","N","第一句机械音明显，第二句的無理情绪不够足"
"pair_004","ja","ええ、ちゃんと覚えています。約束したことですから。","D:\program\meguri-pet\baselines\blind_ab\baseline_001\level_matched\pair_004_A.wav","D:\program\meguri-pet\baselines\blind_ab\baseline_001\level_matched\pair_004_B.wav","B","3","3","2","2","2","2","Y","Y","发音音调过于机械化"
"pair_005","ja","もう、兄さんは本当に心配性なんですから。","D:\program\meguri-pet\baselines\blind_ab\baseline_001\level_matched\pair_005_A.wav","D:\program\meguri-pet\baselines\blind_ab\baseline_001\level_matched\pair_005_B.wav","B","4","4","3","4","4","4","Y","N","这个もう的发音要体现出略微的温柔和不满的感觉，这句整体缺乏感情"
"pair_006","ja","今日は静かですね。こういう時間も、私は好きです。","D:\program\meguri-pet\baselines\blind_ab\baseline_001\level_matched\pair_006_A.wav","D:\program\meguri-pet\baselines\blind_ab\baseline_001\level_matched\pair_006_B.wav","A","4","4","4","3","2","2","Y","Y","缺乏感情"
"pair_007","ja","分からないことは、分からないと正直に言ってくださいね。","D:\program\meguri-pet\baselines\blind_ab\baseline_001\level_matched\pair_007_A.wav","D:\program\meguri-pet\baselines\blind_ab\baseline_001\level_matched\pair_007_B.wav","B","4","5","4","5","3","5","N","N",""
"pair_008","ja","準備はできました。いつでも始められますよ、兄さん。","D:\program\meguri-pet\baselines\blind_ab\baseline_001\level_matched\pair_008_A.wav","D:\program\meguri-pet\baselines\blind_ab\baseline_001\level_matched\pair_008_B.wav","B","4","5","3","5","3","5","N","N",""
"pair_009","ja","大切なのは、焦らず一つずつ確かめることだと思います。","D:\program\meguri-pet\baselines\blind_ab\baseline_001\level_matched\pair_009_A.wav","D:\program\meguri-pet\baselines\blind_ab\baseline_001\level_matched\pair_009_B.wav","B","4","5","4","5","3","4","N","N","可以稍微慢一点点，并且体现出一种教导的感觉"
"pair_010","ja","おやすみなさい。明日も良い一日になりますように。","D:\program\meguri-pet\baselines\blind_ab\baseline_001\level_matched\pair_010_A.wav","D:\program\meguri-pet\baselines\blind_ab\baseline_001\level_matched\pair_010_B.wav","A","4","1","4","3","2","1","Y","Y","第二句比较糊，但是前半句还可以，第一句没什么情感还是不太行"
"pair_011","zh","欢迎回来，哥哥。今天也辛苦了。","D:\program\meguri-pet\baselines\blind_ab\baseline_001\level_matched\pair_011_A.wav","D:\program\meguri-pet\baselines\blind_ab\baseline_001\level_matched\pair_011_B.wav","A","5","5","2","2","2","2","Y","Y","语音过于机械化，也没有正确的语调"
"pair_012","zh","不要着急，我们一起确认就好了。","D:\program\meguri-pet\baselines\blind_ab\baseline_001\level_matched\pair_012_A.wav","D:\program\meguri-pet\baselines\blind_ab\baseline_001\level_matched\pair_012_B.wav","B","3","5","2","2","2","2","Y","Y","第一句前面语速过快，后面还可以接受，但是整体非常日式读法，没有中文的感觉"
"pair_013","zh","晚安，明天也要好好休息。","D:\program\meguri-pet\baselines\blind_ab\baseline_001\level_matched\pair_013_A.wav","D:\program\meguri-pet\baselines\blind_ab\baseline_001\level_matched\pair_013_B.wav","B","5","5","3","4","2","4","Y","N","最后一个比起之前自然很多了"
